iter	Passed	Remaining
692	8713	117018
693	8724	116984
694	8734	116945
695	8745	116911
696	8756	116878
697	8766	116832
698	8776	116781
699	8787	116750
700	8802	116765
701	8813	116734
702	8829	116773
703	8842	116756
704	8853	116732
705	8862	116671
706	8873	116635
707	8883	116594
708	8892	116533
709	8902	116487
710	8911	116423
711	8922	116395
712	8935	116387
713	8946	116352
714	8956	116314
715	8967	116281
716	8977	116227
717	8988	116198
718	9000	116181
719	9009	116124
720	9019	116082
721	9030	116039
722	9038	115977
723	9048	115929
724	9057	115876
725	9067	115833
726	9077	115786
727	9087	115745
728	9098	115704
729	9106	115642
730	9116	115597
731	9127	115564
732	9137	115521
733	9150	115516
734	9164	115527
735	9176	115502
736	9186	115461
737	9198	115438
738	9209	115411
739	9218	115360
740	9229	115323
741	9240	115298
742	9251	115267
743	9263	115242
744	9273	115204
745	9283	115161
746	9294	115124
747	9303	115071
748	9313	115031
749	9328	115045
750	9336	114989
751	9347	114950
752	9358	114919
753	9369	114891
754	9381	114878
755	9394	114876
756	9406	114854
757	9416	114806
758	9427	114786
759	9439	114759
760	9448	114712
761	9460	114692
762	9473	114682
763	9483	114640
764	9495	114628
765	9507	114607
766	9516	114560
767	9527	114530
768	9539	114505
769	9548	114462
770	9559	114433
771	9570	114394
772	9578	114339
773	9592	114343
774	9604	114325
775	9613	114267
776	9623	114236
777	9634	114196
778	9644	114159
779	9654	114117
780	9662	114058
781	9672	114019
782	9682	113981
783	9691	113924
784	9704	113917
785	9714	113875
786	9723	113827
787	9733	113790
788	9742	113734
789	9752	113696
790	9761	113646
791	9771	113607
792	9784	113601
793	9808	113722
794	9825	113766
795	9837	113754
796	9850	113740
797	9860	113700
798	9870	113663
799	9881	113641
800	9891	113599
801	9902	113569
802	9914	113549
803	9924	113516
804	9935	113491
805	9947	113475
806	9957	113434
807	9968	113402
808	9980	113391
809	9992	113368
810	10004	113360
811	10019	113368
812	10032	113369
813	10046	113378
814	10058	113355
815	10067	113311
816	10078	113283
817	10088	113248
818	10099	113215
819	10110	113193
820	10122	113176
821	10132	113136
822	10143	113108
823	10153	113070
824	10164	113044
825	10176	113023
826	10188	113006
827	10198	112966
828	10211	112961
829	10222	112938
830	10234	112926
831	10246	112903
832	10257	112885
833	10267	112848
834	10278	112816
835	10289	112792
836	10299	112748
837	10310	112724
838	10329	112791
839	10341	112771
840	10352	112744
841	10361	112701
842	10373	112677
843	10384	112654
844	10395	112623
845	10405	112595
846	10416	112568
847	10428	112545
848	10440	112534
849	10450	112500
850	10459	112448
851	10470	112418
852	10479	112370
853	10489	112341
854	10499	112303
855	10508	112251
856	10520	112239
857	10530	112205
858	10541	112171
859	10551	112140
860	10559	112087
861	10569	112051
862	10584	112061
863	10593	112011
864	10612	112078
865	10621	112029
866	10634	112019
867	10646	112009
868	10655	111961
869	10665	111923
